user_id,user_login,user_name,account_createdates
4517428,lbargaoanu,Lucian Bargaoanu,2013-05-24T08:26:40Z
33595554,lock[bot],,2017-11-12T10:50:45Z
10201666,dnfclas,.Net Foundation Contribution License Agreements,2014-12-15T23:24:05Z
48340428,msftbot[bot],,2019-03-08T02:24:22Z
10137,ghost,Deleted user,2008-05-13T06:14:25Z
6998306,kevinchalet,Kévin Chalet,2014-03-19T12:21:03Z
649492,brockallen,Brock Allen,2011-03-03T18:14:18Z
8918108,ericstj,Eric StJohn,2014-09-25T16:50:37Z
1172428,GlassGruber,Gruber,2011-11-04T13:42:59Z
1035315,hnrkndrssn,Henrik Andersson,2011-09-08T09:20:02Z
359239,shiftkey,Brendan Forster,2010-08-10T00:33:01Z
756703,robertmuehsig,Robert Muehsig,2011-04-28T11:02:38Z
16575282,andersnm,,2016-01-06T11:45:34Z
90130,JeremySkinner,Jeremy Skinner,2009-05-30T09:35:40Z
122666,SimonCropp,Simon Cropp,2009-09-03T04:01:37Z
1271146,gep13,Gary Ewan Park,2011-12-18T16:52:45Z
26384082,stale[bot],,2017-03-13T14:06:37Z
199026,nikmd23,Nik Molnar,2010-02-07T18:29:45Z
331303,knocte,Andres G. Aragoneses,2010-07-13T22:13:08Z
6933240,garfield69,,2014-03-12T18:47:52Z
303201,JamesNK,James Newton-King,2010-06-11T23:08:02Z
11571300,CLAassistant,,2015-03-20T11:16:38Z
8988778,JerryNiche,,2014-10-01T19:32:23Z
669579,grantemsley,Grant Emsley,2011-03-14T20:07:45Z
1427284,clairernovotny,Claire Novotny,2012-02-10T19:08:30Z
5808377,304NotModified,Julian Verdurmen,2013-10-29T22:17:35Z
582487,khellang,Kristian Hellang,2011-01-25T11:23:44Z
562371,juanfranblanco,Juan Blanco,2011-01-13T09:44:10Z
12769097,morejump,Lưu Thảo,2015-06-05T23:05:10Z
3112460,tuyen-vuduc,Vũ Đức Tuyến,2012-12-24T00:27:49Z
32246820,ciarmoli-marco,Marco Ciarmoli,2017-09-24T19:00:18Z
893301,pushist1y,Антон Е,2011-07-04T10:54:56Z
1867602,tellamon,,2012-06-19T12:59:13Z
266498,dradovic,,2010-05-06T12:51:11Z
16912240,Riajyuu,爆発は芸術です,2016-01-27T05:13:34Z
485230,maartenba,Maarten Balliauw,2010-11-17T09:50:30Z
16807822,skofman1,Svetlana Kofman,2016-01-20T22:43:58Z
14800916,anangaur,Anand Gaurav,2015-09-23T07:44:50Z
737941,loic-sharma,Loïc Sharma,2011-04-19T00:59:24Z
94054,joelverhagen,Joel Verhagen,2009-06-10T18:10:54Z
18014088,scottbommarito,Scott Bommarito,2016-03-22T18:42:03Z
880728,xavierdecoster,Xavier Decoster,2011-06-28T07:20:05Z
16580006,cristinamanum,cmanu,2016-01-06T17:30:43Z
12734758,dtivel,Damon Tivel,2015-06-03T16:48:17Z
1399677,RanjiniM,,2012-02-01T22:37:51Z
1238711,yishaigalatzer,Yishai Galatzer,2011-12-03T20:44:26Z
6608201,diverdan92,Daniel Jacobson,2014-02-06T19:17:04Z
7574,anurse,Andrew Stanton-Nurse,2008-04-16T14:40:04Z
14916339,rido-min,Ricardo Minguez (Rido),2015-09-30T23:48:17Z
19977,haacked,Phil Haack,2008-08-08T03:36:05Z
174281,pranavkm,Pranav K,2009-12-30T17:38:32Z
41759,tmat,Tomáš Matoušek,2008-12-20T08:28:23Z
67574,kfrancis,Kori Francis,2009-03-26T20:16:10Z
13765819,AlinMoldovean,Alin Moldovean,2015-08-12T13:01:52Z
436613,MD-V,Michi,2010-10-12T12:36:23Z
8157818,barnstee,Erich Barnstedt,2014-07-14T12:20:35Z
6437134,eoursel,Eric OURSEL,2014-01-18T13:38:54Z
1376924,akoeplinger,Alexander Köplinger,2012-01-24T21:19:01Z
1710369,filipw,Filip W,2012-05-06T10:33:57Z
192942,Jaykul,Joel Bennett,2010-01-30T17:07:44Z
10171679,jianyunt,Jianyun,2014-12-12T23:49:50Z
133736,fearthecowboy,Garrett Serack,2009-10-01T14:32:57Z
794251,nlowe,Nathan Lowe,2011-05-17T19:42:29Z
1662677,Stijnc,Stijn Callebaut,2012-04-20T12:01:08Z
4371645,quoctruong,Quoc Truong,2013-05-08T03:19:41Z
11182111,slimracing,,2015-02-24T19:47:41Z
19418093,MichaelStankiewicz,,2016-05-17T22:24:49Z
43356,rgl,Rui Lopes,2008-12-30T17:47:50Z
167819,pchote,Paul Chote,2009-12-15T09:06:10Z
4861023,Phrohdoh,Taryn,2013-06-28T04:43:49Z
7704140,abcdefg30,,2014-05-26T16:21:34Z
4950766,jersiovic,Sergio Navarro,2013-07-05T21:00:05Z
13782679,deanmarcussen,Dean Marcussen,2015-08-13T13:52:17Z
12952226,Perfare,Perfare,2015-06-18T12:51:49Z
29400616,K0lb3,,2017-06-13T10:27:11Z
781266,tidyui,Håkan Edling,2011-05-11T11:04:07Z
2414837,caleblloyd,Caleb Lloyd,2012-09-24T20:39:44Z
14002844,mguinness,,2015-08-27T17:06:02Z
22290914,iSazonov,Ilya,2016-09-19T08:48:24Z
11859881,SteveL-MSFT,Steve Lee,2015-04-08T19:47:29Z
32407840,vexx32,Joel Sallow (/u/ta11ow),2017-09-30T04:44:11Z
10873629,TravisEz13,Travis Plunk,2015-02-05T23:06:15Z
7864621,KevinMarquette,Kevin Marquette,2014-06-11T22:37:52Z
2226434,andschwa,Andy Schwartzmeyer,2012-08-27T09:40:16Z
127450,daxian-dbw,Dongbo Wang,2009-09-15T21:48:34Z
3860573,dansiegel,Dan Siegel,2013-03-14T03:58:25Z
835562,brianlagunas,Brian Lagunas,2011-06-07T16:32:10Z
376117,Qstick,,2010-08-25T20:22:27Z
5339762,galli-leo,Leonardo Galli,2013-08-29T15:05:13Z
199065,SWu,,2010-02-07T19:40:59Z
18750515,janipewter,Jani,2016-04-30T10:47:51Z
15698584,scope999,,2015-11-07T01:50:02Z
6843062,StephenStrickland,Stephen Strickland,2014-03-03T19:12:09Z
3433353,ZhaoRd,诸葛小亮,2013-01-31T01:21:43Z
12771982,Scrxtchy,Scratch,2015-06-06T06:29:12Z
822090,Jaex,,2011-06-01T02:53:34Z
2008729,NTaylorMullen,N. Taylor Mullen,2012-07-20T00:31:57Z
95194,mausch,Mauricio Scheffer,2009-06-14T07:06:26Z
1396,anaisbetts,Anaïs Betts,2008-02-28T02:26:12Z
6980197,jpreese,John Reese,2014-03-17T21:12:34Z
146967,jaredpar,Jared Parsons,2009-10-31T00:09:36Z
1210527,hikalkan,Halil İbrahim Kalkan,2011-11-21T14:53:45Z
1750815,TingluoHuang,Tingluo Huang,2012-05-18T00:25:48Z
527620,adamhathcock,Adam Hathcock,2010-12-17T18:36:37Z
8589980,Strachu,,2014-08-29T11:40:22Z
13472989,michalpenka,Michal Pěnka,2015-07-23T18:57:17Z
16143702,me-hungry,me_hungry,2015-12-03T23:57:58Z
11347847,sepehr1014,Sepehr M,2015-03-06T09:39:07Z
36700586,rameshyarru,,2018-02-21T13:16:51Z
27334392,Megamindzzz,,2017-04-12T06:32:59Z
528515,coderb,,2010-12-18T14:27:20Z
6995051,javiercn,Javier Calvarro Nelson,2014-03-19T05:32:23Z
34246760,mkArtakMSFT,Artak,2017-12-04T17:11:58Z
2642209,stephentoub,Stephen Toub,2012-10-24T16:23:53Z
1430011,rynowak,Ryan Nowak,2012-02-12T01:22:20Z
1874516,danroth27,Daniel Roth,2012-06-20T22:47:18Z
26821102,jmhmaine,Josh Hurley,2017-03-31T15:35:54Z
19998082,StefanoP73,,2016-06-17T15:56:38Z
5989020,iyhammad,Ibrahim Hammad,2013-11-20T08:57:50Z
5553390,gokarnm,Milind Gokarn,2013-09-26T22:03:36Z
1359724,PavelSafronov,Pavel Safronov,2012-01-20T18:30:35Z
5959235,tejasmanohar,Tejas Manohar,2013-11-17T05:16:10Z
338984,jstedfast,Jeffrey Stedfast,2010-07-20T20:09:58Z
1190944,kspearrin,Kyle Spearrin,2011-11-12T21:39:55Z
10491957,Dushelov,,2015-01-12T01:50:20Z
8715276,BlackstarSolar,Graham King,2014-09-09T21:48:49Z
1133858,FlorianWendelborn,Florian Wendelborn,2011-10-17T17:52:35Z
568104,canton7,Antony Male,2011-01-17T01:21:33Z
169039,AlexIljin,Alexander Iljin,2009-12-17T17:54:27Z
63502,ferventcoder,Rob Reynolds,2009-03-14T21:52:21Z
834643,mkevenaar,Maurice Kevenaar,2011-06-07T08:42:32Z
14026600,bcurran3,bcurran3,2015-08-29T06:40:18Z
10140165,Bluejanis,,2014-12-10T09:06:49Z
14045904,systemsincode,Matt,2015-08-30T23:07:49Z
1273576,rismoney,Rich Siegel,2011-12-19T19:21:59Z
1589068,rednoah,Reinhard Pointner,2012-03-30T02:14:03Z
207759,StefanScherer,Stefan Scherer,2010-02-21T10:46:06Z
16208159,KurtTheBerner,,2015-12-08T13:11:56Z
5805780,TheFynx,Levi Smith,2013-10-29T16:30:14Z
12024557,vertigo220,,2015-04-19T23:07:51Z
11945339,digimezzo,Digimezzo,2015-04-14T14:45:51Z
1434343,domaindrivendev,Richard Morris,2012-02-13T18:54:17Z
11480481,ac9999,Amit Chandel,2015-03-14T21:59:43Z
7409981,joeloff,Jacques Eloff,2014-04-25T23:12:46Z
2249648,JohnTortugo,John Tortugo,2012-08-30T16:23:02Z
18965312,comfycoder,Dennis Moon,2016-05-01T16:56:12Z
2294732,Praburaj,Praburaj Thiagarajan,2012-09-06T21:05:52Z
367554,livarcocc,Livar,2010-08-17T18:27:19Z
4564579,CyrusNajmabadi,,2013-05-29T22:54:45Z
3831744,superyyrrzz,Renze Yu,2013-03-11T12:51:08Z
3877005,ericsink,Eric Sink,2013-03-15T17:14:17Z
8248806,sergeybykov,Sergey Bykov,2014-07-23T17:47:37Z
684792,panopticoncentral,Paul Vick,2011-03-22T21:39:51Z
9527491,ManishJayaswal,Manish Jayaswal,2014-11-03T08:24:18Z
10506730,tmeschter,Tom Meschter,2015-01-12T22:49:58Z
1333179,heejaechang,Heejae Chang,2012-01-16T09:05:02Z
20570,srivatsn,Srivatsn Narayanan,2008-08-13T18:55:41Z
12466233,jcouv,Julien Couvreur,2015-05-15T21:20:53Z
11078489,gregg-miskelly,Gregg Miskelly,2015-02-19T17:42:09Z
