user_id,user_login,user_name,account_createdates
33595554,lock[bot],,2017-11-12T10:50:45Z
10201666,dnfclas,.Net Foundation Contribution License Agreements,2014-12-15T23:24:05Z
48340428,msftbot[bot],,2019-03-08T02:24:22Z
31744877,patricklee2,Patrick,2017-09-07T19:40:25Z
1683309,aluong,Andy Luong,2012-04-26T21:25:42Z
1054056,markcowl,Mark Cowlishaw,2011-09-15T18:59:24Z
8137559,maddieclayton,Maddie Clayton,2014-07-11T17:35:56Z
59125146,kundan579p,,2019-12-21T21:01:47Z
4462409,cormacpayne,Cormac McCarthy,2013-05-18T04:28:54Z
2515810,Drewm3,Drew McDaniel,2012-10-09T00:09:44Z
2223357,juancrl,Juan Carlos Ruiz,2012-08-26T19:44:48Z
1025424,tmds,Tom Deseyn,2011-09-04T13:52:52Z
1420098,nif-nif,nifnif,2012-02-08T16:06:05Z
4716762,LynnJing,,2013-06-17T09:28:46Z
253560,stej,Pepa Štefan,2010-04-26T23:20:48Z
37337818,yungezz,Yunge Zhu,2018-03-13T13:46:04Z
1532486,heaths,Heath Stewart,2012-03-13T11:18:49Z
22382549,kurtzeborn,Scott Kurtzeborn,2016-09-22T23:43:40Z
8396979,AlexGhiondea,Alex Ghiondea,2014-08-08T17:18:35Z
9221694,Marusyk,Roman Marusyk,2014-10-14T21:43:54Z
174258,danielmarbach,Daniel Marbach,2009-12-30T16:28:46Z
10137,ghost,Deleted user,2008-05-13T06:14:25Z
42150151,vscodewinodws,,2018-08-06T16:30:56Z
833747,myagley,Mike Yagley,2011-06-06T21:41:18Z
15937192,ancaantochi,Anca Antochi ,2015-11-20T05:06:36Z
41898282,github-actions[bot],,2018-07-30T09:30:16Z
8418852,lt72,Lorenzo Tessiore,2014-08-11T16:32:20Z
22642794,mrohera,,2016-10-05T16:50:06Z
22118756,tanieee28,,2016-09-10T15:22:30Z
3172421,brentschmaltz,BrentSchmaltz,2013-01-02T21:34:19Z
6998306,kevinchalet,Kévin Chalet,2014-03-19T12:21:03Z
649492,brockallen,Brock Allen,2011-03-03T18:14:18Z
1454075,leastprivilege,Dominick Baier,2012-02-20T14:26:08Z
4894558,AndersAbel,Anders Abel,2013-06-30T18:16:50Z
8918108,ericstj,Eric StJohn,2014-09-25T16:50:37Z
10642668,bartonjs,Jeremy Barton,2015-01-21T23:02:21Z
1821173,Tratcher,Chris Ross,2012-06-05T23:20:10Z
8322877,Demigiant,Daniele Giardini,2014-07-31T18:22:22Z
4980551,Crypth,,2013-07-10T09:35:37Z
90130,JeremySkinner,Jeremy Skinner,2009-05-30T09:35:40Z
12283,asbjornu,Asbjørn Ulsberg,2008-06-02T08:35:37Z
26384082,stale[bot],,2017-03-13T14:06:37Z
