user_id,user_login,user_name,account_createdates
33595554,lock[bot],,2017-11-12T10:50:45Z
166834,aheckmann,Aaron Heckmann,2009-12-13T03:02:46Z
13041,rauchg,Guillermo Rauch,2008-06-09T02:22:48Z
18333116,matticbot,Calypso Bot,2016-04-07T16:17:54Z
4656974,samouri,Jake Fried,2013-06-10T00:21:12Z
43042548,wpcalypsobot,,2018-09-06T16:09:38Z
26384082,stale[bot],,2017-03-13T14:06:37Z
699132,gziolo,Greg Ziółkowski,2011-03-30T11:14:10Z
227022,nylen,James Nylen,2010-03-20T22:50:58Z
2936813,aquibm,Aquib Master,2012-12-01T06:15:15Z
8602615,kazup01,KZ,2014-08-31T02:14:08Z
11307908,asmsuechan,asmsuechan,2015-03-04T05:47:58Z
679099,robertleeplummerjr,Robert Plummer,2011-03-19T20:18:07Z
2222702,mubaidr,Muhammad Ubaid Raza,2012-08-26T16:17:05Z
3451886,hpinkos,Hannah,2013-02-01T19:53:52Z
1711126,OmarShehata,Omar Shehata,2012-05-06T17:49:08Z
10137,ghost,Deleted user,2008-05-13T06:14:25Z
593312,rnicholus,Ray Nicholus,2011-01-31T19:01:57Z
1866809,ylecuyer,Yoann Lecuyer,2012-06-19T09:27:16Z
4009570,campersau,,2013-03-29T23:32:22Z
2564094,Hirse,Jan Pilzer,2012-10-15T12:39:55Z
1328388,nparsons08,Nick Parsons,2012-01-13T17:59:15Z
5384588,googlebot,,2013-09-04T18:30:59Z
20525523,choumx,William Chou,2016-07-18T21:57:52Z
2354108,coveralls,Coveralls,2012-09-15T20:38:09Z
872310,JedWatson,Jed Watson,2011-06-24T02:12:21Z
587576,gschier,Gregory Schier,2011-01-28T01:25:26Z
30606887,welcome[bot],,2017-07-31T21:21:17Z
18004223,alsacefan,,2016-03-22T09:54:36Z
1637573,lhorie,Leo Horie,2012-04-12T17:33:42Z
11571300,CLAassistant,,2015-03-20T11:16:38Z
8822573,BridgeAR,Ruben Bridgewater,2014-09-18T15:56:23Z
241629,webron,Ron,2010-04-11T17:10:11Z
249413,fehguy,Tony Tam,2010-04-21T23:54:40Z
565460,Golmote,,2011-01-14T22:31:39Z
92839,mjackson,Michael Jackson,2009-06-07T14:26:52Z
17882,timdorr,Tim Dorr,2008-07-22T14:53:53Z
720056,LukeAskew,Luke Askew,2011-04-10T03:06:24Z
5951778,StringEpsilon,,2013-11-15T22:30:14Z
1127037,pshrmn,Paul Sherman,2011-10-13T22:19:27Z
505619,dominykas,Dominykas Blyžė,2010-12-01T21:08:33Z
2642088,kellyrmilligan,Kelly,2012-10-24T16:08:58Z
15649454,janhoeck,Jan Höck,2015-11-04T10:36:12Z
3877674,Kapaacius,Kaspar Falkenberg,2013-03-15T18:46:09Z
921609,OliverJAsh,Oliver Joseph Ash,2011-07-17T22:21:49Z
1057895,kevinliang,Kevin Liang,2011-09-17T09:05:06Z
35987337,AnshulM34,AnshulMeghani,2018-01-31T05:50:02Z
23086723,oliver-stripe,,2016-10-26T21:31:50Z
978004,kadishmal,Esen Sagynov,2011-08-13T16:07:27Z
4540634,Prophet32j,Josh Hardy,2013-05-27T14:09:09Z
6211701,jh3141,,2013-12-18T05:18:04Z
7074,wincent,Greg Hurrell,2008-04-13T13:40:03Z
10884302,devilhtc,Tianchang (Kevin) He,2015-02-06T15:13:41Z
12954857,luismasg,Luis Manuel Suarez,2015-06-18T16:09:44Z
6887500,pmwisdom,Paul Wisdom,2014-03-07T21:47:06Z
1906614,charlesverge,Charles Verge,2012-06-29T16:21:40Z
33718805,StanislavBerezin,Stas,2017-11-16T10:31:46Z
881769,cephirothdy2j,Dylan Schuster,2011-06-28T15:50:48Z
885807,Andrekra,Andre Kramer,2011-06-30T07:11:16Z
11513299,Dalzhim,Gabriel Aubut-Lussier,2015-03-17T02:45:48Z
687108,kevinkyyro,Kevin Kyyro,2011-03-23T22:21:31Z
596443,bripkens,Ben Blackmore,2011-02-02T09:19:42Z
39061683,kelly-tock,Kelly,2018-05-07T16:09:57Z
11416577,stuartwmurray,Stuart Murray,2015-03-11T01:21:17Z
3112159,taion,Jimmy Jia,2012-12-23T22:49:00Z
100200,ryanflorence,Ryan Florence,2009-06-30T03:46:58Z
1072475,MeiKatz,Gregor Mitzka,2011-09-22T22:43:49Z
1236466,sihil,Simon Hildrew,2011-12-02T16:29:17Z
3802023,knowbody,Mateusz Zatorski,2013-03-07T20:06:14Z
7859434,aszwemin,Anna Szwemin,2014-06-11T11:45:40Z
2268452,keyz,Keyan Zhang,2012-09-03T05:29:16Z
55164754,pierre-lehnen-rc,,2019-09-10T22:22:42Z
41898282,github-actions[bot],,2018-07-30T09:30:16Z
4711233,kaiiiiiiiii,Kai,2013-06-16T14:07:41Z
2694669,saenzramiro,Ramiro Saenz,2012-10-31T22:10:00Z
49331639,weucn,,2019-04-06T04:44:02Z
