user_id,user_login,user_name,account_createdates
10137,ghost,Deleted user,2008-05-13T06:14:25Z
1331084,sempervictus,RageLtMan,2012-01-15T04:26:40Z
2354108,coveralls,Coveralls,2012-09-15T20:38:09Z
1946610,segiddins,Samuel Giddins,2012-07-10T02:19:26Z
1516820,travisbot,Don't Add Me To Your Organization a.k.a The Travis Bot,2012-03-08T16:12:00Z
985416,dunn,Alex Dunn,2011-08-17T06:59:32Z
26216252,commitay,,2017-03-06T07:22:34Z
1699443,vitorgalvao,Vítor Galvão,2012-05-02T15:46:18Z
2555394,adidalal,Aditya Dalal,2012-10-14T04:54:46Z
6127163,miccal,Miccal Matthews,2013-12-07T01:46:27Z
17261190,ran-dall,Randall,2016-02-15T23:43:40Z
727482,rolandwalker,Roland Walker,2011-04-13T17:05:27Z
3063022,tapeinosyne,Andrew,2012-12-17T12:46:27Z
1261954,core-code,CoreCode,2011-12-14T02:44:29Z
863730,fanquake,Michael Ford,2011-06-21T08:01:35Z
19834496,Fischmuetze,,2016-06-09T08:34:21Z
25732197,gtmgianni,Gianni Tam-McMillan,2017-02-13T02:09:10Z
1089486,eraserewind,Jordan,2011-09-29T10:12:07Z
2125849,citruspi,Mihir,2012-08-09T21:15:02Z
41030,cjs,Craig Steinberger,2008-12-17T17:35:49Z
1787524,Noctem,David Christenson,2012-05-29T04:11:29Z
7806257,miq-bot,ManageIQ Bot,2014-06-05T14:22:04Z
7808341,JPrause,John Prause,2014-06-05T18:14:07Z
5387,weppos,Simone Carletti,2008-04-06T10:44:35Z
640,ph,Pier-Hugues Pellerin,2008-02-22T18:07:11Z
104526,elijh,Elijah,2009-07-13T19:40:43Z
833383,arthurnn,Arthur Nogueira Neves,2011-06-06T18:45:00Z
118850,dwradcliffe,David Radcliffe,2009-08-24T12:50:02Z
508007,SteveLTN,W Shao,2010-12-03T13:38:46Z
441,jduff,John Duff,2008-02-19T19:10:32Z
1647391,jessethegame,Jesse Zwaan,2012-04-16T08:33:24Z
454857,lamont-granquist,Lamont Granquist,2010-10-26T15:45:26Z
33595554,lock[bot],,2017-11-12T10:50:45Z
8500,thommay,Thom May,2008-04-25T17:23:15Z
10031469,bcook-r7,Brent Cook,2014-12-01T16:18:04Z
1168689,adailey14,,2011-11-03T00:23:41Z
122436,bogdan,Bogdan Gusiev,2009-09-02T14:43:04Z
4913482,sethpollack,Seth Pollack,2013-07-01T23:26:59Z
78,indirect,André Arko,2008-01-29T07:59:27Z
83835,cantino,Andrew Cantino,2009-05-12T20:54:16Z
4138,geemus,Wesley Beary,2008-03-30T18:36:25Z
543751,ansonhoyt,Anson Hoyt,2011-01-01T23:52:23Z
4381,btm,Bryan McLellan,2008-04-02T22:43:49Z
128243,coderanger,Noah Kantrowitz,2009-09-17T18:54:00Z
2481463,tyler-ball,Tyler Ball,2012-10-03T19:19:31Z
139355,timh,Tim Hinderliter,2009-10-13T19:54:09Z
1619,seth,Seth Falcon,2008-02-28T17:05:20Z
16127344,dpb587-pivotal,Danny Berger,2015-12-03T02:09:16Z
2256887,voelzmo,Marco Voelz,2012-08-31T19:48:20Z
552600,thoughtafter,thoughtafter,2011-01-07T22:43:40Z
78363,GBH,Oleg,2009-04-27T14:59:23Z
1178413,chris-rock,Christoph Hartmann,2011-11-07T16:38:29Z
6510351,seth-reeser,Seth Reeser,2014-01-27T01:46:52Z
922012,voraciousdev,David R. Myers,2011-07-18T04:10:35Z
1020137,Olofguard,Damien Russell,2011-09-01T18:13:06Z
131174,simoniong,Simon Iong,2009-09-25T10:43:43Z
1155123,EwanValentine,Ewan Valentine,2011-10-27T08:19:05Z
1844413,qpautrat,Quentin Pautrat,2012-06-12T22:18:24Z
7338513,fullyint,Phil Nelson,2014-04-18T15:30:35Z
293241,erikaheidi,Erika Heidi,2010-06-01T13:24:22Z
1469855,stevemartingale,Stephen Cassidy,2012-02-24T15:00:23Z
1206964,dcoraboeuf,Damien Coraboeuf,2011-11-19T18:49:13Z
2389047,rystaf,Ryan Stafford,2012-09-20T21:31:21Z
629551,e1nh4nd3r,e1nh4nd3r,2011-02-21T09:18:48Z
8383666,bosunolanrewaju,'Bosun Olanrewaju,2014-08-07T10:05:30Z
3698800,discoursebot,,2013-02-25T22:58:33Z
