user_id,user_login,user_name,account_createdates
2354108,coveralls,Coveralls,2012-09-15T20:38:09Z
26384082,stale[bot],,2017-03-13T14:06:37Z
10137,ghost,Deleted user,2008-05-13T06:14:25Z
125332,vvakame,Masahiro Wakame,2009-09-10T12:20:08Z
23042052,typescript-bot,TypeScript Bot,2016-10-24T23:00:16Z
6685088,RyanCavanaugh,Ryan Cavanaugh,2014-02-14T19:19:00Z
8000722,mhegazy,Mohamed Hegazy,2014-06-26T23:41:32Z
902894,jpevarnek,Jonathan Pevarnek,2011-07-08T12:55:19Z
5497598,ffflorian,Florian Imdahl,2013-09-19T21:50:44Z
204121,jcalfee,James Calfee,2010-02-15T18:43:43Z
565544,chris-allnutt,Chris Allnutt,2011-01-14T23:46:08Z
18293645,iKest,,2016-04-05T19:17:11Z
11826153,qding-bot,qding,2015-04-06T23:56:03Z
161476,Eugeny,Eugene,2009-12-03T17:12:54Z
3053279,Onepamopa,,2012-12-16T02:35:32Z
7927875,ChipwizBen,Ben Schofield,2014-06-18T22:37:46Z
9916002,enif-lee,enif.lee,2014-11-23T16:39:17Z
54960343,ShawnRahlTR,Shawn Rahl,2019-09-05T20:04:15Z
25690050,E1oz,,2017-02-10T15:17:29Z
20337058,solomchuk,Max Solomčuk,2016-07-07T10:35:00Z
4669258,K3UL,Mickael V,2013-06-11T10:18:55Z
54602959,tony-ruchti,Tony Ruchti,2019-08-27T21:14:46Z
20583400,iFlyinq,Niels,2016-07-21T17:19:13Z
7237164,Hassenky,,2014-04-09T10:28:19Z
3063181,grimeyCH,Andreas Grimm,2012-12-17T13:12:17Z
44492381,lxwulf,LxWulf,2018-10-26T07:28:28Z
5956320,x1nas,,2013-11-16T16:55:27Z
29279312,levysaar,,2017-06-08T13:00:26Z
3732230,kabudu,Kamba Abudu,2013-02-28T23:02:32Z
41084081,C439,,2018-07-10T19:12:15Z
33284763,mocanzaki,Mocan Zakarias,2017-11-01T12:16:34Z
25758726,realIronWang,,2017-02-14T02:07:57Z
24277413,ajitstark,,2016-11-30T17:59:46Z
46710503,tellus-git,,2019-01-15T10:50:27Z
7578569,Novezeil,,2014-05-14T08:03:04Z
